Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-24 00:00:00,61,0,4,47,60,6
2024-11-24 01:00:00,60,0,7,47,62,6
2024-11-24 02:00:00,60,0,7,49,67,6
2024-11-24 03:00:00,59,0,14,49,69,6
2024-11-24 04:00:00,59,0,17,50,72,6
2024-11-24 05:00:00,59,0,8,50,72,6
2024-11-24 06:00:00,59,0,11,50,72,6
2024-11-24 07:00:00,59,2,18,50,72,6
2024-11-24 08:00:00,63,1,12,53,70,6
2024-11-24 09:00:00,67,0,21,54,63,6
2024-11-24 10:00:00,70,0,23,56,61,6
2024-11-24 11:00:00,73,0,24,58,59,6
2024-11-24 12:00:00,75,0,34,59,58,7
2024-11-24 13:00:00,75,0,33,60,60,7
2024-11-24 14:00:00,75,0,35,60,60,7
2024-11-24 15:00:00,76,0,38,60,58,7
2024-11-24 16:00:00,75,0,37,60,60,7
2024-11-24 17:00:00,74,0,37,60,62,6
2024-11-24 18:00:00,73,0,46,60,64,6
2024-11-24 19:00:00,71,0,26,59,66,6
2024-11-24 20:00:00,72,0,28,59,64,5
2024-11-24 21:00:00,71,0,29,59,66,5
2024-11-24 22:00:00,70,0,31,59,68,5
2024-11-24 23:00:00,70,0,29,59,68,5
2024-11-25 00:00:00,69,0,27,60,73,5
2024-11-25 01:00:00,69,0,25,60,73,5
2024-11-25 02:00:00,69,0,25,60,73,5
2024-11-25 03:00:00,68,0,25,60,76,5
2024-11-25 04:00:00,68,0,25,60,76,5
2024-11-25 05:00:00,67,0,29,60,78,5
2024-11-25 06:00:00,67,0,32,61,81,5
2024-11-25 07:00:00,68,0,36,61,78,5
2024-11-25 08:00:00,70,0,34,62,76,5
2024-11-25 09:00:00,73,0,33,62,68,6
2024-11-25 10:00:00,76,0,31,63,64,7
2024-11-25 11:00:00,77,0,30,64,64,8
2024-11-25 12:00:00,78,0,30,64,62,9
2024-11-25 13:00:00,78,0,29,64,62,9
2024-11-25 14:00:00,78,0,32,64,62,9
2024-11-25 15:00:00,78,0,34,63,60,8
2024-11-25 16:00:00,77,0,37,63,62,8
2024-11-25 17:00:00,76,0,36,63,64,8
2024-11-25 18:00:00,76,0,35,64,66,7
2024-11-25 19:00:00,75,0,34,64,69,7
2024-11-25 20:00:00,75,0,31,64,69,7
2024-11-25 21:00:00,74,0,29,64,71,6
2024-11-25 22:00:00,74,0,26,64,71,6
2024-11-25 23:00:00,74,0,23,64,71,6
