Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-26 00:00:00,31,21,16,100,21,66,10,13
2024-11-26 01:00:00,32,22,7,100,23,71,10,13
2024-11-26 02:00:00,32,22,7,100,25,77,12,13
2024-11-26 03:00:00,33,23,7,99,27,78,10,13
2024-11-26 04:00:00,33,25,7,99,27,80,9,10
2024-11-26 05:00:00,33,27,7,100,28,82,8,9
2024-11-26 06:00:00,33,27,11,100,28,82,8,9
2024-11-26 07:00:00,33,28,49,100,29,83,8,9
2024-11-26 08:00:00,34,25,63,100,29,82,8,9
2024-11-26 09:00:00,36,27,64,99,30,78,8,9
2024-11-26 10:00:00,39,32,49,99,30,72,9,10
2024-11-26 11:00:00,40,31,67,100,32,71,10,12
2024-11-26 12:00:00,41,31,68,100,33,72,10,12
2024-11-26 13:00:00,42,36,49,100,32,69,10,13
2024-11-26 14:00:00,41,31,74,100,35,79,10,13
2024-11-26 15:00:00,40,30,73,99,34,77,10,13
2024-11-26 16:00:00,39,29,72,100,33,78,10,13
2024-11-26 17:00:00,39,28,72,100,32,76,9,14
2024-11-26 18:00:00,38,31,49,99,32,78,9,14
2024-11-26 19:00:00,38,27,67,99,32,79,9,13
2024-11-26 20:00:00,37,26,67,100,31,80,9,13
2024-11-26 21:00:00,36,25,67,100,31,82,10,12
2024-11-26 22:00:00,35,23,67,100,30,82,10,13
2024-11-26 23:00:00,34,22,66,100,30,83,10,13
2024-11-27 00:00:00,34,24,49,99,29,83,10,13
2024-11-27 01:00:00,32,21,65,99,28,82,10,12
2024-11-27 02:00:00,32,21,64,100,27,82,10,12
2024-11-27 03:00:00,31,19,63,100,26,82,10,13
2024-11-27 04:00:00,29,17,61,100,25,83,10,13
2024-11-27 05:00:00,29,15,61,99,24,84,12,14
2024-11-27 06:00:00,28,16,49,99,23,84,12,14
2024-11-27 07:00:00,27,13,59,98,22,84,10,13
2024-11-27 08:00:00,26,16,49,98,22,82,10,13
2024-11-27 09:00:00,28,20,49,97,21,72,9,12
2024-11-27 10:00:00,31,22,75,97,21,66,8,9
2024-11-27 11:00:00,32,25,75,96,21,64,7,13
2024-11-27 12:00:00,33,26,75,95,20,59,7,13
2024-11-27 13:00:00,32,24,66,95,18,57,8,14
2024-11-27 14:00:00,30,23,57,95,15,53,8,14
2024-11-27 15:00:00,29,19,65,95,14,53,8,14
2024-11-27 16:00:00,26,19,49,95,13,57,8,10
2024-11-27 17:00:00,23,13,63,95,14,67,8,9
2024-11-27 18:00:00,21,9,62,95,13,74,8,9
2024-11-27 19:00:00,18,8,62,95,11,76,8,9
2024-11-27 20:00:00,15,5,62,95,9,78,8,9
2024-11-27 21:00:00,14,4,62,95,9,81,8,9
2024-11-27 22:00:00,13,4,59,95,8,83,7,9
2024-11-27 23:00:00,12,4,59,95,8,82,7,8
