Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-26 00:00:00,38,28,28,95,35,88,13,24
2024-11-26 01:00:00,36,26,16,76,32,83,13,23
2024-11-26 02:00:00,34,23,16,76,29,85,12,21
2024-11-26 03:00:00,32,21,16,76,28,84,12,17
2024-11-26 04:00:00,30,20,16,76,26,83,10,16
2024-11-26 05:00:00,29,19,16,76,24,81,9,14
2024-11-26 06:00:00,27,19,10,76,22,79,9,13
2024-11-26 07:00:00,26,19,0,46,20,76,8,14
2024-11-26 08:00:00,24,17,0,46,19,81,8,16
2024-11-26 09:00:00,27,21,0,46,20,74,9,18
2024-11-26 10:00:00,30,25,0,46,21,67,9,18
2024-11-26 11:00:00,33,29,0,46,21,60,9,18
2024-11-26 12:00:00,36,32,0,46,21,54,9,18
2024-11-26 13:00:00,38,35,0,46,21,50,9,18
2024-11-26 14:00:00,40,36,0,46,22,48,9,18
2024-11-26 15:00:00,42,38,0,46,22,45,9,18
2024-11-26 16:00:00,41,36,0,46,21,45,8,15
2024-11-26 17:00:00,39,34,0,64,22,50,7,12
2024-11-26 18:00:00,37,33,0,70,22,56,6,8
2024-11-26 19:00:00,34,32,0,70,23,64,5,6
2024-11-26 20:00:00,31,30,0,70,23,73,5,6
2024-11-26 21:00:00,33,33,0,70,24,68,5,5
2024-11-26 22:00:00,33,33,0,70,24,70,5,5
2024-11-26 23:00:00,33,33,0,70,24,70,5,5
2024-11-27 00:00:00,34,34,0,70,25,69,5,5
2024-11-27 01:00:00,34,34,1,100,25,69,4,5
2024-11-27 02:00:00,34,34,1,100,26,70,4,5
2024-11-27 03:00:00,35,35,1,100,26,71,4,5
2024-11-27 04:00:00,35,35,1,99,27,71,4,5
2024-11-27 05:00:00,35,35,1,99,27,71,5,5
2024-11-27 06:00:00,36,35,3,100,27,71,5,6
2024-11-27 07:00:00,36,34,5,94,27,71,5,6
2024-11-27 08:00:00,36,35,5,94,28,71,5,6
2024-11-27 09:00:00,37,36,6,94,28,70,6,7
2024-11-27 10:00:00,39,37,7,94,29,68,6,7
2024-11-27 11:00:00,40,38,7,94,30,66,6,8
2024-11-27 12:00:00,43,40,11,94,30,62,7,9
2024-11-27 13:00:00,41,38,17,94,31,68,8,9
2024-11-27 14:00:00,41,38,17,94,32,70,7,9
2024-11-27 15:00:00,41,38,22,94,33,74,7,9
2024-11-27 16:00:00,40,36,49,94,34,80,7,9
2024-11-27 17:00:00,39,32,64,94,34,84,7,8
2024-11-27 18:00:00,38,31,63,94,35,89,7,8
2024-11-27 19:00:00,36,32,40,99,34,92,7,9
2024-11-27 20:00:00,36,32,34,99,34,93,7,10
2024-11-27 21:00:00,36,31,40,100,35,94,6,10
2024-11-27 22:00:00,36,29,72,100,34,95,6,10
2024-11-27 23:00:00,35,28,74,100,34,95,7,12
