Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-26 00:00:00,73,73,0,26,66,77,7,8
2024-11-26 01:00:00,73,72,0,26,66,78,7,8
2024-11-26 02:00:00,72,72,0,26,66,79,7,8
2024-11-26 03:00:00,72,71,0,26,65,80,7,8
2024-11-26 04:00:00,72,71,0,26,65,80,7,8
2024-11-26 05:00:00,71,71,0,26,65,80,7,8
2024-11-26 06:00:00,71,70,0,26,65,80,6,7
2024-11-26 07:00:00,70,70,0,26,65,83,7,8
2024-11-26 08:00:00,72,74,0,26,65,77,7,8
2024-11-26 09:00:00,75,78,0,26,65,71,7,9
2024-11-26 10:00:00,78,81,0,26,66,67,8,12
2024-11-26 11:00:00,79,83,0,26,66,63,9,13
2024-11-26 12:00:00,80,84,0,26,66,61,9,15
2024-11-26 13:00:00,82,85,0,26,65,57,10,17
2024-11-26 14:00:00,81,83,0,26,66,59,10,17
2024-11-26 15:00:00,81,82,0,26,66,59,10,17
2024-11-26 16:00:00,79,80,0,26,66,62,10,17
2024-11-26 17:00:00,79,78,0,26,66,63,10,16
2024-11-26 18:00:00,77,76,0,26,65,67,9,14
2024-11-26 19:00:00,76,75,0,10,65,68,8,13
2024-11-26 20:00:00,76,74,0,8,65,70,8,12
2024-11-26 21:00:00,75,74,0,9,65,71,8,10
2024-11-26 22:00:00,75,74,0,10,65,72,7,9
2024-11-26 23:00:00,74,73,0,9,65,74,7,8
2024-11-27 00:00:00,73,72,0,9,65,75,7,8
2024-11-27 01:00:00,73,72,0,26,65,76,6,7
2024-11-27 02:00:00,72,72,0,26,65,77,6,7
2024-11-27 03:00:00,72,71,0,26,65,78,6,7
2024-11-27 04:00:00,72,71,0,26,64,77,6,7
2024-11-27 05:00:00,71,71,0,26,64,78,6,7
2024-11-27 06:00:00,70,69,0,26,64,82,6,7
2024-11-27 07:00:00,71,70,0,10,64,80,6,7
2024-11-27 08:00:00,72,73,0,7,65,77,7,8
2024-11-27 09:00:00,75,77,0,7,65,71,8,9
2024-11-27 10:00:00,78,80,0,7,65,65,9,10
2024-11-27 11:00:00,79,82,0,7,65,62,9,13
2024-11-27 12:00:00,80,83,0,6,65,60,10,15
2024-11-27 13:00:00,80,83,0,5,65,59,10,17
2024-11-27 14:00:00,81,83,0,4,65,57,10,17
2024-11-27 15:00:00,80,81,0,4,65,59,10,16
2024-11-27 16:00:00,79,78,0,4,64,61,10,16
2024-11-27 17:00:00,78,76,0,4,64,63,9,15
2024-11-27 18:00:00,76,75,0,3,64,67,9,14
2024-11-27 19:00:00,75,73,0,3,65,71,8,13
2024-11-27 20:00:00,74,73,0,3,65,73,8,14
2024-11-27 21:00:00,73,72,0,5,65,75,8,13
2024-11-27 22:00:00,73,72,0,7,65,77,8,12
2024-11-27 23:00:00,73,72,0,10,66,78,7,10
