Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-26 00:00:00,14,0,72,9,80,10
2024-11-26 01:00:00,14,0,73,8,76,10
2024-11-26 02:00:00,13,0,73,9,84,9
2024-11-26 03:00:00,13,0,73,9,84,9
2024-11-26 04:00:00,13,0,69,8,80,8
2024-11-26 05:00:00,11,0,64,9,91,7
2024-11-26 06:00:00,12,1,60,9,87,7
2024-11-26 07:00:00,12,1,61,9,87,6
2024-11-26 08:00:00,12,1,65,9,87,6
2024-11-26 09:00:00,14,1,68,10,84,5
2024-11-26 10:00:00,15,1,70,12,88,5
2024-11-26 11:00:00,17,1,64,13,84,5
2024-11-26 12:00:00,18,1,57,14,84,5
2024-11-26 13:00:00,19,0,53,14,80,5
2024-11-26 14:00:00,20,0,52,16,84,5
2024-11-26 15:00:00,20,0,51,16,84,5
2024-11-26 16:00:00,21,0,52,16,81,3
2024-11-26 17:00:00,19,0,57,16,88,3
2024-11-26 18:00:00,19,19,64,15,84,2
2024-11-26 19:00:00,18,19,70,15,88,2
2024-11-26 20:00:00,17,19,75,14,88,2
2024-11-26 21:00:00,17,19,76,14,88,2
2024-11-26 22:00:00,17,19,82,14,88,2
2024-11-26 23:00:00,16,19,85,13,88,2
2024-11-27 00:00:00,16,25,86,13,88,2
2024-11-27 01:00:00,16,25,88,13,89,2
2024-11-27 02:00:00,16,25,90,14,90,2
2024-11-27 03:00:00,16,25,91,14,90,2
2024-11-27 04:00:00,17,25,90,14,89,2
2024-11-27 05:00:00,17,25,89,14,89,3
2024-11-27 06:00:00,17,18,86,14,88,3
2024-11-27 07:00:00,17,18,88,14,88,3
2024-11-27 08:00:00,17,18,89,15,92,5
2024-11-27 09:00:00,17,18,91,15,92,5
2024-11-27 10:00:00,18,18,90,16,91,5
2024-11-27 11:00:00,19,18,88,16,87,6
2024-11-27 12:00:00,20,4,87,17,86,6
2024-11-27 13:00:00,21,4,82,17,85,7
2024-11-27 14:00:00,21,4,78,17,83,8
2024-11-27 15:00:00,22,4,73,17,82,8
2024-11-27 16:00:00,21,4,72,17,84,8
2024-11-27 17:00:00,20,4,72,17,87,7
2024-11-27 18:00:00,20,15,71,17,89,6
2024-11-27 19:00:00,19,15,71,16,89,6
2024-11-27 20:00:00,18,15,71,16,92,6
2024-11-27 21:00:00,17,15,71,15,92,6
2024-11-27 22:00:00,17,15,72,14,89,6
2024-11-27 23:00:00,16,15,74,14,90,6
