Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-25 00:00:00,49,44,11,100,40,72,8,9,0.0121,4.0,-4.0
2024-11-25 01:00:00,49,45,43,100,41,74,8,10,0.18489999999999998,4.0,-4.0
2024-11-25 02:00:00,49,45,47,100,43,78,8,9,0.22089999999999999,4.0,-4.0
2024-11-25 03:00:00,49,43,51,100,44,81,8,9,0.2601,5.0,-5.0
2024-11-25 04:00:00,49,46,43,99,45,84,7,9,0.18489999999999998,5.0,-5.0
2024-11-25 05:00:00,49,44,51,99,46,87,7,9,0.2601,5.0,-5.0
2024-11-25 06:00:00,50,47,43,100,47,87,7,8,0.18489999999999998,3.0,-3.0
2024-11-25 07:00:00,51,46,55,94,48,89,7,8,0.30250000000000005,3.0,-3.0
2024-11-25 08:00:00,51,46,55,94,48,90,7,8,0.30250000000000005,3.0,-3.0
2024-11-25 09:00:00,51,49,49,94,49,90,7,9,0.24009999999999998,4.0,-4.0
2024-11-25 10:00:00,52,50,34,94,49,90,7,10,0.11560000000000002,4.0,-4.0
2024-11-25 11:00:00,53,51,34,94,50,90,7,12,0.11560000000000002,3.0,-3.0
2024-11-25 12:00:00,54,51,37,94,51,91,8,13,0.1369,5.0,-5.0
2024-11-25 13:00:00,54,52,43,94,51,90,8,14,0.18489999999999998,5.0,-5.0
2024-11-25 14:00:00,55,52,47,94,51,85,8,15,0.22089999999999999,5.0,-5.0
2024-11-25 15:00:00,54,47,51,94,50,86,9,16,0.2601,3.0,-3.0
2024-11-25 16:00:00,53,45,51,94,49,86,9,20,0.2601,0.0,0.0
2024-11-25 17:00:00,51,46,47,94,47,85,10,22,0.22089999999999999,1.0,-1.0
2024-11-25 18:00:00,49,42,49,94,45,87,12,25,0.24009999999999998,0.0,0.0
2024-11-25 19:00:00,47,37,60,96,44,89,13,25,0.16000000000000003,0.0,0.0
2024-11-25 20:00:00,44,34,60,96,42,91,13,25,0.16000000000000003,1.0,-1.0
2024-11-25 21:00:00,42,34,49,99,40,90,13,22,0.24009999999999998,1.0,-1.0
2024-11-25 22:00:00,41,32,34,100,37,87,12,20,0.11560000000000002,0.0,0.0
2024-11-25 23:00:00,39,30,34,100,35,86,12,20,0.11560000000000002,1.0,-1.0
2024-11-26 00:00:00,38,29,28,99,33,82,12,20,0.07840000000000001,1.0,-1.0
2024-11-26 01:00:00,37,28,16,76,31,79,10,21,0.0256,1.0,-1.0
2024-11-26 02:00:00,35,26,16,76,29,79,10,21,0.0256,1.0,-1.0
2024-11-26 03:00:00,33,24,16,76,28,81,10,20,0.0256,1.0,-1.0
2024-11-26 04:00:00,32,23,16,76,27,81,9,17,0.0256,0.0,0.0
2024-11-26 05:00:00,30,22,16,76,25,79,9,16,0.0256,1.0,1.0
2024-11-26 06:00:00,29,21,10,76,23,78,9,14,0.010000000000000002,1.0,1.0
2024-11-26 07:00:00,28,20,0,46,21,76,8,15,0.0,1.0,1.0
2024-11-26 08:00:00,26,18,0,46,21,82,8,16,0.0,0.0,0.0
2024-11-26 09:00:00,28,21,0,46,21,76,9,17,0.0,0.0,0.0
2024-11-26 10:00:00,30,25,0,46,21,68,9,18,0.0,0.0,0.0
2024-11-26 11:00:00,33,29,0,46,22,62,9,17,0.0,0.0,0.0
2024-11-26 12:00:00,36,32,0,46,22,56,9,16,0.0,0.0,0.0
2024-11-26 13:00:00,38,34,0,46,22,52,9,16,0.0,1.0,-1.0
2024-11-26 14:00:00,39,36,0,46,22,50,9,16,0.0,2.0,-2.0
2024-11-26 15:00:00,41,37,0,46,22,47,9,16,0.0,1.0,-1.0
2024-11-26 16:00:00,40,34,0,46,22,50,8,15,0.0,2.0,-2.0
2024-11-26 17:00:00,38,33,0,46,23,54,7,12,0.0,2.0,-2.0
2024-11-26 18:00:00,37,33,0,46,24,60,6,9,0.0,1.0,-1.0
2024-11-26 19:00:00,35,32,1,28,24,66,5,6,0.0001,1.0,-1.0
2024-11-26 20:00:00,33,32,1,52,25,70,5,6,0.0001,3.0,-3.0
2024-11-26 21:00:00,33,32,1,73,25,72,5,6,0.0001,3.0,-3.0
2024-11-26 22:00:00,31,30,1,83,25,80,5,6,0.0001,3.0,-3.0
2024-11-26 23:00:00,32,32,1,85,25,76,5,5,0.0001,2.0,-2.0
