Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed
2024-11-25 00:00:00,20,71,88,17,88,6
2024-11-25 01:00:00,19,71,83,16,88,6
2024-11-25 02:00:00,18,51,79,15,88,6
2024-11-25 03:00:00,17,42,75,15,92,6
2024-11-25 04:00:00,16,32,71,14,92,6
2024-11-25 05:00:00,15,13,67,13,92,6
2024-11-25 06:00:00,13,13,59,12,96,5
2024-11-25 07:00:00,13,13,51,11,91,5
2024-11-25 08:00:00,15,0,43,11,84,5
2024-11-25 09:00:00,21,0,32,11,65,6
2024-11-25 10:00:00,26,0,22,10,50,7
2024-11-25 11:00:00,29,0,11,10,44,8
2024-11-25 12:00:00,32,0,11,9,37,8
2024-11-25 13:00:00,33,0,11,8,34,9
2024-11-25 14:00:00,33,0,11,8,34,9
2024-11-25 15:00:00,31,0,16,8,37,8
2024-11-25 16:00:00,29,0,21,8,40,7
2024-11-25 17:00:00,25,14,25,7,46,6
2024-11-25 18:00:00,25,14,42,8,47,6
2024-11-25 19:00:00,24,14,51,8,50,6
2024-11-25 20:00:00,23,14,59,8,53,6
2024-11-25 21:00:00,22,14,63,8,54,6
2024-11-25 22:00:00,22,14,67,9,58,6
2024-11-25 23:00:00,22,57,71,10,60,6
2024-11-26 00:00:00,22,57,76,12,65,6
2024-11-26 01:00:00,22,57,82,14,70,6
2024-11-26 02:00:00,23,57,87,16,74,6
2024-11-26 03:00:00,24,57,88,17,75,6
2024-11-26 04:00:00,25,57,88,18,75,6
2024-11-26 05:00:00,25,80,89,19,77,6
2024-11-26 06:00:00,25,80,89,20,81,6
2024-11-26 07:00:00,25,80,89,22,88,6
2024-11-26 08:00:00,26,80,89,23,89,6
2024-11-26 09:00:00,29,80,90,24,81,7
2024-11-26 10:00:00,33,80,91,25,72,8
2024-11-26 11:00:00,36,84,92,25,63,9
2024-11-26 12:00:00,38,84,91,25,58,10
2024-11-26 13:00:00,39,84,91,26,59,10
2024-11-26 14:00:00,39,84,90,26,59,10
2024-11-26 15:00:00,38,84,90,26,62,9
2024-11-26 16:00:00,36,84,90,27,69,8
2024-11-26 17:00:00,34,87,92,27,74,7
2024-11-26 18:00:00,33,87,92,27,78,7
2024-11-26 19:00:00,32,87,92,26,78,8
2024-11-26 20:00:00,31,87,92,26,81,8
2024-11-26 21:00:00,31,87,92,26,83,8
2024-11-26 22:00:00,30,87,93,26,84,8
2024-11-26 23:00:00,30,94,96,26,85,8
