Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-25 00:00:00,45,71,92,42,90,3,0.08410000000000002,2.0,2.0
2024-11-25 01:00:00,45,74,94,43,91,3,0.06760000000000001,2.0,2.0
2024-11-25 02:00:00,45,58,96,42,89,3,0.17640000000000003,2.0,2.0
2024-11-25 03:00:00,44,49,97,42,91,3,0.2601,1.0,1.0
2024-11-25 04:00:00,44,54,96,42,91,3,0.21159999999999995,1.0,1.0
2024-11-25 05:00:00,44,63,93,41,90,3,0.1369,1.0,1.0
2024-11-25 06:00:00,43,52,93,41,91,3,0.2304,0.0,0.0
2024-11-25 07:00:00,44,45,87,41,89,3,0.30250000000000005,0.0,0.0
2024-11-25 08:00:00,44,23,90,42,91,3,0.5929,0.0,0.0
2024-11-25 09:00:00,45,26,86,43,91,3,0.06760000000000001,0.0,0.0
2024-11-25 10:00:00,45,47,88,42,89,3,0.22089999999999999,0.0,0.0
2024-11-25 11:00:00,46,47,88,42,88,3,0.22089999999999999,0.0,0.0
2024-11-25 12:00:00,47,47,88,43,87,3,0.22089999999999999,0.0,0.0
2024-11-25 13:00:00,48,47,73,44,87,3,0.22089999999999999,1.0,1.0
2024-11-25 14:00:00,48,47,73,44,88,3,0.22089999999999999,1.0,1.0
2024-11-25 15:00:00,48,47,73,44,89,3,0.28090000000000004,1.0,1.0
2024-11-25 16:00:00,47,40,74,44,90,3,0.36,0.0,0.0
2024-11-25 17:00:00,47,40,74,44,91,3,0.36,1.0,1.0
2024-11-25 18:00:00,46,40,74,44,92,3,0.36,0.0,0.0
2024-11-25 19:00:00,46,40,78,44,92,3,0.36,1.0,1.0
2024-11-25 20:00:00,46,40,78,43,92,3,0.16000000000000003,1.0,1.0
2024-11-25 21:00:00,45,40,78,43,91,3,0.36,0.0,0.0
2024-11-25 22:00:00,45,16,71,43,91,3,0.0256,1.0,1.0
2024-11-25 23:00:00,45,16,71,42,91,3,0.0256,1.0,1.0
2024-11-26 00:00:00,45,16,71,43,91,3,0.0256,1.0,1.0
2024-11-26 01:00:00,45,16,74,43,91,3,0.0256,2.0,2.0
2024-11-26 02:00:00,45,16,74,42,91,3,0.0256,2.0,2.0
2024-11-26 03:00:00,44,16,74,42,92,3,0.0256,1.0,1.0
2024-11-26 04:00:00,44,16,83,42,92,3,0.0256,1.0,1.0
2024-11-26 05:00:00,43,16,83,41,92,3,0.0256,1.0,1.0
2024-11-26 06:00:00,42,16,83,40,92,3,0.0256,0.0,0.0
2024-11-26 07:00:00,42,16,81,40,92,2,0.0256,0.0,0.0
2024-11-26 08:00:00,43,16,81,40,92,2,0.0256,1.0,1.0
2024-11-26 09:00:00,44,16,81,41,91,2,0.0256,1.0,1.0
2024-11-26 10:00:00,45,16,73,42,90,2,0.0256,2.0,2.0
2024-11-26 11:00:00,46,16,73,42,89,2,0.0256,2.0,2.0
2024-11-26 12:00:00,46,16,73,42,88,2,0.0256,1.0,1.0
2024-11-26 13:00:00,46,16,73,42,87,2,0.0256,1.0,1.0
2024-11-26 14:00:00,46,16,73,42,87,2,0.0256,1.0,1.0
2024-11-26 15:00:00,46,16,73,42,87,2,0.0256,1.0,1.0
2024-11-26 16:00:00,46,16,72,42,87,2,0.0256,1.0,1.0
2024-11-26 17:00:00,46,16,72,42,87,2,0.0256,2.0,2.0
2024-11-26 18:00:00,45,16,72,42,87,2,0.0256,1.0,1.0
2024-11-26 19:00:00,45,16,75,41,87,2,0.0256,3.0,3.0
2024-11-26 20:00:00,45,16,75,41,88,2,0.0256,2.0,2.0
2024-11-26 21:00:00,44,16,75,41,89,2,0.0256,0.0,0.0
2024-11-26 22:00:00,44,16,75,41,90,3,0.0256,0.0,0.0
2024-11-26 23:00:00,44,16,75,41,90,3,0.0256,1.0,1.0
