Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point
2024-11-28 01:00:00,16,25,5,87,9,13
2024-11-28 02:00:00,16,0,4,87,9,13
2024-11-28 03:00:00,15,0,3,87,10,12
2024-11-28 04:00:00,14,0,2,85,11,11
2024-11-28 05:00:00,13,0,1,85,11,9
2024-11-28 06:00:00,11,25,3,86,13,8
2024-11-28 07:00:00,10,0,6,84,14,6
2024-11-28 08:00:00,9,0,7,83,14,5
2024-11-28 09:00:00,9,0,7,80,14,4
2024-11-28 10:00:00,9,0,8,80,15,4
2024-11-28 11:00:00,10,0,7,78,15,4
2024-11-28 12:00:00,10,25,7,77,15,4
2024-11-28 13:00:00,11,25,6,77,16,5
2024-11-28 14:00:00,11,25,6,77,16,5
2024-11-28 15:00:00,11,0,7,76,17,5
2024-11-28 16:00:00,10,25,7,76,17,4
2024-11-28 17:00:00,9,0,9,76,16,3
2024-11-28 18:00:00,8,25,10,76,16,2
2024-11-28 19:00:00,7,0,11,75,16,1
2024-11-28 20:00:00,6,0,12,74,16,0
2024-11-28 21:00:00,5,0,13,74,15,1
2024-11-28 22:00:00,5,0,13,74,15,2
2024-11-28 23:00:00,4,0,14,73,15,2
2024-11-29 00:00:00,4,0,14,73,15,3
2024-11-29 01:00:00,3,0,15,74,14,3
2024-11-29 02:00:00,2,0,16,74,14,4
2024-11-29 03:00:00,2,0,16,76,14,4
2024-11-29 04:00:00,1,0,17,75,14,5
2024-11-29 05:00:00,1,0,17,75,13,5
2024-11-29 06:00:00,0,0,18,77,13,5
2024-11-29 07:00:00,0,0,19,77,13,6
2024-11-29 08:00:00,1,0,19,76,13,7
2024-11-29 09:00:00,0,0,19,74,13,7
2024-11-29 10:00:00,0,0,18,74,13,6
2024-11-29 11:00:00,1,0,17,71,13,6
2024-11-29 12:00:00,3,0,15,69,13,5
2024-11-29 13:00:00,4,0,13,69,14,3
2024-11-29 14:00:00,6,0,11,68,14,3
2024-11-29 15:00:00,6,0,10,67,14,2
2024-11-29 16:00:00,6,0,11,68,13,2
2024-11-29 17:00:00,5,0,12,71,13,3
2024-11-29 18:00:00,3,0,14,73,12,3
2024-11-29 19:00:00,2,0,15,74,12,5
2024-11-29 20:00:00,1,0,17,74,12,6
2024-11-29 21:00:00,0,0,18,75,12,6
2024-11-29 22:00:00,1,0,18,75,12,7
2024-11-29 23:00:00,1,0,18,75,11,7
