Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,18,8,0,100,11,73,9,10,0.0,0.0,0.0
2024-11-28 01:00:00,18,7,0,99,10,72,9,12,1.0,0.0,0.0
2024-11-28 02:00:00,17,5,0,99,9,71,10,12,0.0,1.0,-1.0
2024-11-28 03:00:00,16,3,0,100,9,72,10,13,0.0,2.0,-2.0
2024-11-28 04:00:00,16,1,0,100,8,73,12,14,0.0,2.0,-2.0
2024-11-28 05:00:00,15,2,0,100,8,72,14,16,0.0,2.0,-2.0
2024-11-28 06:00:00,14,4,0,100,6,70,14,17,0.0,2.0,-2.0
2024-11-28 07:00:00,13,7,0,99,4,67,16,20,0.0,2.0,-2.0
2024-11-28 08:00:00,11,10,0,99,3,71,16,20,0.0,4.0,-4.0
2024-11-28 09:00:00,9,13,0,100,2,75,17,20,0.0,6.0,-6.0
2024-11-28 10:00:00,11,11,0,100,2,69,17,23,0.0,5.0,-5.0
2024-11-28 11:00:00,11,11,0,100,2,67,17,25,0.0,5.0,-5.0
2024-11-28 12:00:00,11,11,0,100,2,67,18,27,0.0,5.0,-5.0
2024-11-28 13:00:00,12,9,0,98,2,66,17,27,0.0,4.0,-4.0
2024-11-28 14:00:00,12,9,0,95,3,64,17,28,0.0,4.0,-4.0
2024-11-28 15:00:00,12,10,0,95,2,64,17,29,0.0,4.0,-4.0
2024-11-28 16:00:00,12,10,0,95,2,64,17,28,0.0,3.0,-3.0
2024-11-28 17:00:00,10,12,0,95,1,68,16,27,0.0,4.0,-4.0
2024-11-28 18:00:00,8,13,0,95,1,71,16,25,0.0,3.0,-3.0
2024-11-28 19:00:00,7,15,0,76,0,73,16,24,0.0,5.0,-5.0
2024-11-28 20:00:00,5,16,0,76,1,75,16,23,0.0,5.0,-5.0
2024-11-28 21:00:00,5,17,0,76,1,76,15,21,0.0,5.0,-5.0
2024-11-28 22:00:00,4,17,0,76,1,77,15,18,0.0,5.0,-5.0
2024-11-28 23:00:00,4,17,0,84,2,77,15,17,0.0,3.0,-3.0
2024-11-29 00:00:00,4,17,0,90,2,77,15,17,0.0,3.0,-3.0
2024-11-29 01:00:00,4,17,0,87,2,75,15,17,0.0,2.0,-2.0
2024-11-29 02:00:00,4,17,0,78,3,74,15,17,0.0,0.0,0.0
2024-11-29 03:00:00,3,18,0,76,3,74,15,17,0.0,0.0,0.0
2024-11-29 04:00:00,3,18,0,76,3,75,14,17,0.0,1.0,-1.0
2024-11-29 05:00:00,3,18,0,76,4,74,14,17,0.0,1.0,-1.0
2024-11-29 06:00:00,2,19,0,76,5,72,14,17,0.0,1.0,-1.0
2024-11-29 07:00:00,1,20,0,46,6,73,14,16,0.0,2.0,-2.0
2024-11-29 08:00:00,1,22,0,46,6,78,14,16,0.0,2.0,-2.0
2024-11-29 09:00:00,1,18,0,46,6,70,14,17,0.0,2.0,-2.0
2024-11-29 10:00:00,3,16,0,55,5,67,15,17,0.0,1.0,1.0
2024-11-29 11:00:00,5,14,0,62,4,65,15,18,0.0,1.0,1.0
2024-11-29 12:00:00,6,12,0,65,4,63,15,20,0.0,0.0,0.0
2024-11-29 13:00:00,8,11,0,61,3,61,15,21,0.0,1.0,1.0
2024-11-29 14:00:00,10,9,0,54,3,58,15,22,0.0,2.0,2.0
2024-11-29 15:00:00,8,11,0,46,3,61,15,23,0.0,0.0,0.0
2024-11-29 16:00:00,7,12,0,46,3,63,14,23,0.0,1.0,1.0
2024-11-29 17:00:00,5,13,0,46,4,66,13,22,0.0,2.0,2.0
2024-11-29 18:00:00,4,14,0,46,4,69,13,21,0.0,4.0,4.0
2024-11-29 19:00:00,2,15,0,23,5,72,12,18,0.0,2.0,2.0
2024-11-29 20:00:00,1,17,0,23,6,73,12,17,0.0,3.0,3.0
2024-11-29 21:00:00,1,17,0,23,6,74,12,15,0.0,3.0,3.0
2024-11-29 22:00:00,0,17,0,22,6,75,12,15,0.0,2.0,2.0
2024-11-29 23:00:00,0,17,0,22,6,76,10,15,0.0,4.0,4.0
