Hour,Temperature,Precip_Chance,Feels_Like,Humidity,Wind_Speed,Dew_Point
2024-11-28 00:00:00,7,0,1,100,3,7
2024-11-28 01:00:00,6,0,1,100,3,6
2024-11-28 02:00:00,4,0,3,100,3,4
2024-11-28 03:00:00,3,0,5,100,4,3
2024-11-28 04:00:00,2,0,6,100,4,2
2024-11-28 05:00:00,1,0,7,100,4,1
2024-11-28 06:00:00,0,0,8,100,4,0
2024-11-28 07:00:00,2,0,11,100,4,3
2024-11-28 08:00:00,4,0,13,97,4,5
2024-11-28 09:00:00,3,0,13,93,4,5
2024-11-28 10:00:00,2,0,7,78,4,3
2024-11-28 11:00:00,10,0,3,60,4,1
2024-11-28 12:00:00,18,0,10,47,5,1
2024-11-28 13:00:00,23,0,15,41,7,3
2024-11-28 14:00:00,26,0,18,39,8,4
2024-11-28 15:00:00,27,0,18,38,9,5
2024-11-28 16:00:00,26,0,17,39,9,5
2024-11-28 17:00:00,24,0,16,41,8,4
2024-11-28 18:00:00,21,0,12,47,7,4
2024-11-28 19:00:00,17,0,8,55,6,4
2024-11-28 20:00:00,14,0,5,64,6,4
2024-11-28 21:00:00,11,0,2,73,6,4
2024-11-28 22:00:00,9,0,1,81,6,4
2024-11-28 23:00:00,7,0,3,87,5,4
2024-11-29 00:00:00,6,0,5,89,6,3
2024-11-29 01:00:00,4,0,6,89,6,2
2024-11-29 02:00:00,3,0,8,85,5,1
2024-11-29 03:00:00,1,0,9,83,5,3
2024-11-29 04:00:00,0,0,10,78,5,5
2024-11-29 05:00:00,0,0,10,72,5,7
2024-11-29 06:00:00,1,0,11,67,5,9
2024-11-29 07:00:00,1,0,11,65,5,10
2024-11-29 08:00:00,1,0,11,66,4,10
2024-11-29 09:00:00,1,0,9,70,4,7
2024-11-29 10:00:00,5,0,4,64,4,4
2024-11-29 11:00:00,13,0,4,52,5,1
2024-11-29 12:00:00,22,0,14,42,6,2
2024-11-29 13:00:00,28,0,20,35,8,4
2024-11-29 14:00:00,32,0,24,31,10,5
2024-11-29 15:00:00,33,0,24,31,11,6
2024-11-29 16:00:00,32,0,23,32,12,6
2024-11-29 17:00:00,30,0,20,36,12,6
2024-11-29 18:00:00,26,0,15,42,11,6
2024-11-29 19:00:00,21,0,10,49,10,5
2024-11-29 20:00:00,17,0,5,55,10,4
2024-11-29 21:00:00,14,0,1,61,10,3
2024-11-29 22:00:00,12,0,2,64,11,2
2024-11-29 23:00:00,10,0,4,68,11,1
